model,rmse,TEmax,TEmaxt,MImax,TE0,TE1,TE2,TE3,TE4,TE5,TE6,TE7,TE8,MI0,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,corr0,corr1,corr2,corr3,corr4,corr5,corr6,corr7,corr8,MImaxt,replicate,sink,source,site
0_baseline_LSTM,NA,0.0807951069429153,0,0.1086576931156365,0.0807951069429153,0.0225646304291536,0.031272526705254,0.0281279998720717,0.0327952486237355,0.0355366346414157,0.0398796019555899,0.04052738872749,0.0393758294917232,0.1086576931156365,0.0504272166018756,0.043523722057173,0.0403913227811202,0.0374248695029501,0.0382258992934623,0.037120245284113,0.0366288884447691,0.0356879888219272,0.195956765848163,0.1317096193744246,0.1217350924804777,0.118095724522665,0.1128134016123896,0.1067088634686993,0.1062304904748833,0.105490625325389,0.1004471438634404,0,0,do_mean,tmmx,01473499
0_baseline_LSTM,NA,0.0717985839753171,0,0.0992533948014369,0.0717985839753171,0.0217425772518525,0.0311048665680796,0.0311858265578102,0.0371397042081844,0.0380550073636127,0.0401090529306837,0.0414111996178313,0.0440715891583785,0.0992533948014369,0.0491973880779724,0.0454056695877981,0.0421786852256554,0.0417500883130078,0.0400468053904751,0.0397521306187029,0.038539575415874,0.0389345696430545,0.1696594826033405,0.1252532564884809,0.1212368217541049,0.1219547236850374,0.1185487734055572,0.1134847524630865,0.1122640995986803,0.1111275738064958,0.1066983873430011,0,0,do_max,tmmx,01473499
0_baseline_LSTM,1.5789521540587297,0.0692904799638153,1,0.1768950273829717,0.0397641322118841,0.0692904799638153,0.0673023812918393,0.0551685308431668,0.0515537754554811,0.0507922858349775,0.0472790997333238,0.0445852441348315,0.0458076614831531,0.14690991263482,0.1768950273829717,0.1103541618727179,0.0529125710880185,0.0298441831007588,0.0205308086204937,0.0140540784816098,0.0119531414175119,0.0125347994236843,-0.6181972094397149,-0.6646835359071797,-0.5303434935944925,-0.3637242308723912,-0.2399658756242958,-0.1583148035522559,-0.1091593883335786,-0.0839204403816488,-0.0680709248247031,1,0,do_min,tmmx,01473500
0_baseline_LSTM,1.6391255936877631,0.0718076743818917,1,0.1677494942424972,0.0368698682549909,0.0718076743818917,0.0700959589364888,0.0582332694503159,0.0522610669550943,0.0494776865584523,0.0467664053041059,0.0448149224975144,0.0473514992714937,0.1323651311286716,0.1677494942424972,0.1060691214538025,0.0516097426100931,0.0286889698000932,0.0208583847452443,0.0138671336502759,0.0117918266475739,0.0127503949743997,-0.5927243995359551,-0.6510135364378697,-0.5212478362472824,-0.3563452100758515,-0.2341386096483471,-0.1549403621610698,-0.1060152648879606,-0.0804936277484848,-0.0661179521070498,1,0,do_mean,tmmx,01473500
0_baseline_LSTM,1.9369755016023067,0.0819891568607453,1,0.1549630166122876,0.0342237575940525,0.0819891568607453,0.0748153383976857,0.0620921991108822,0.0556680721680084,0.052095695187938,0.0452396494386829,0.0446208523121132,0.0507760305587229,0.1060305859012847,0.1549630166122876,0.1027145700965833,0.0504411615903969,0.0295236724408485,0.0219646425005272,0.0144126196732966,0.0118577093286256,0.0146625337968107,-0.5384614005208226,-0.6277391039909391,-0.5173658795972977,-0.3571200922145362,-0.2345503562756436,-0.1545329622508316,-0.1034847935451837,-0.0766755567689386,-0.0627020385352584,1,0,do_max,tmmx,01473500
0_baseline_LSTM,NA,0.0641447774683865,8,0.0219946840175541,0.0376646782565344,0.0338935913982946,0.0495146106409799,0.0527597761808928,0.0579163532507243,0.0622198153379791,0.0603800604876644,0.0628539781530638,0.0641447774683865,0.0208396848255459,0.0182219422610852,0.0205911469961505,0.0179378198841105,0.0200672833787745,0.0217889016094263,0.0193813828569637,0.0215795088024891,0.0219946840175541,0.039114115799701,0.0111578284775616,0.0055334735246178,0.0157491840072517,0.0309673242403387,0.0398840184492307,0.0467232079941547,0.0526445001292341,0.0501640413525005,8,0,do_min,tmmx,01473675
0_baseline_LSTM,NA,0.0527347741720171,8,0.0481128581650749,0.035531857083791,0.0285255791116233,0.0383994520784916,0.0436910390269832,0.044179658409741,0.0492648859541631,0.0485016159298142,0.0513724561695489,0.0527347741720171,0.0481128581650749,0.0411065801929082,0.0304918359805855,0.0220586069781987,0.0192096498963601,0.01977064350125,0.0155599848474229,0.0152208728968477,0.0164355855437802,0.0825708572748928,0.0653244826423382,0.0534783304457041,0.0509322838926935,0.0551700527065762,0.056485265807441,0.0569779686212324,0.060401757359819,0.0583571419585007,0,0,do_mean,tmmx,01473675
0_baseline_LSTM,NA,0.0505391144603312,7,0.0449524970455194,0.0256740881481864,0.0349613621928176,0.047388463051002,0.0451275368025418,0.0501814234208047,0.0473294968999117,0.0487812051866295,0.0505391144603312,0.0470602518537591,0.0356652230008887,0.0449524970455194,0.0438693281277524,0.0317594575110397,0.0256015692089277,0.0255076718517909,0.0201772538232905,0.0192865149479525,0.0161625306201926,0.0627007455199795,0.0673920810983389,0.0703102212100627,0.0722834510605422,0.0755978313489871,0.0753510694076661,0.0731826231989632,0.0739226937975869,0.0719402890534775,1,0,do_max,tmmx,01473675
0_baseline_LSTM,NA,0.075585956078646,1,0.1895777533361239,0.0405833462800281,0.075585956078646,0.0709613229720941,0.0590235653206593,0.0507839409558114,0.0511673714549567,0.0504430180222185,0.0471542251824221,0.0506111082907396,0.1535250880899932,0.1895777533361239,0.1163648257270739,0.0589090781716634,0.0310191358956917,0.0217265396644463,0.0176142386627114,0.0135174893289815,0.014738773378646,-0.6304465035853002,-0.6801462754428316,-0.5445601645281942,-0.3755577896233643,-0.2512661992766475,-0.1683485425131939,-0.1193912457446678,-0.0948690269210035,-0.078217633904304,1,0,do_min,tmmx,01473780
0_baseline_LSTM,NA,0.077834974709431,1,0.1779927172799492,0.0402902261149606,0.077834974709431,0.0696858749024901,0.0603058125291511,0.0517595515335044,0.0495882052537378,0.0495465891064903,0.0485165457286124,0.0508476008227541,0.1394230615161742,0.1779927172799492,0.1103648222290701,0.0558679784494137,0.0299701858551293,0.0218370125409942,0.0165984078248262,0.0134436555669121,0.0141446728088639,-0.6076362879122266,-0.6671054137558127,-0.5345986641286492,-0.3668966392990613,-0.2447349895143341,-0.1648740715939476,-0.1162284131842306,-0.0921623103819584,-0.0773023213250747,1,0,do_mean,tmmx,01473780
