site_id,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,nstates,rep_id,nepochs,model_id
014721259,0.694168,0.670782,0.881007,1.248978,0.071527,0.263091,-0.772973,1.215537,-1.348738,-23.72732,0.629958,0.613951,do_max,train,10,0,100,0_baseline_LSTM
01473499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,10,0,100,0_baseline_LSTM
01473675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,10,0,100,0_baseline_LSTM
01473780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,10,0,100,0_baseline_LSTM
01474500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,10,0,100,0_baseline_LSTM
01480617,0.971811,0.781801,1.928726,1.001148,0.079502,-0.212327,-1.705207,0.946844,-3.95477,-9.731134,0.784702,0.751394,do_max,train,10,0,100,0_baseline_LSTM
01480870,0.99753,0.672852,1.864811,1.155637,0.086025,-0.218133,-1.409961,1.093557,-2.884605,-9.901451,0.666715,0.721028,do_max,train,10,0,100,0_baseline_LSTM
01481000,0.892735,0.718307,1.25149,1.276957,0.082032,0.117427,-0.605623,1.236057,-1.118996,-14.970031,0.702703,0.815565,do_max,train,10,0,100,0_baseline_LSTM
01481500,0.535122,0.931834,0.775135,0.698755,0.046827,-0.038709,-0.510306,0.664618,-1.475081,-10.925315,0.930972,0.926418,do_max,train,10,0,100,0_baseline_LSTM
01466500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,val,10,0,100,0_baseline_LSTM
01472104,0.847572,0.666867,0.726077,1.607595,0.124587,0.356707,0.26241,1.57588,-0.311884,-23.929483,0.589725,0.765311,do_min,val,10,0,100,0_baseline_LSTM
01472119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,val,10,0,100,0_baseline_LSTM
014721254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,val,10,0,100,0_baseline_LSTM
014721259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,val,10,0,100,0_baseline_LSTM
01473499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,val,10,0,100,0_baseline_LSTM
01473500,1.242385,0.694497,0.891168,1.994743,0.156474,0.795735,0.23144700000000001,1.901687,-0.208126,-15.925708,0.63921,0.866409,do_min,val,10,0,100,0_baseline_LSTM
01473675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,val,10,0,100,0_baseline_LSTM
01473780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,val,10,0,100,0_baseline_LSTM
01474500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,val,10,0,100,0_baseline_LSTM
01475530,7.769485,-38.132006,10.464429,6.064913,2.677961,-7.651729,-10.446994,-6.059718,-545.546707,-760.808175,-365.437827,-0.983288,do_min,val,10,0,100,0_baseline_LSTM
01475548,6.92713,-8.410914,10.550531,2.843573,2.033192,-6.564543,-10.531663,-2.784351,-302.579329,-20.53365,-38.910917,-0.370516,do_min,val,10,0,100,0_baseline_LSTM
01480617,0.574431,0.867753,0.478588,0.611237,0.066019,-0.177343,-0.140841,0.490777,0.102168,-1.683318,0.846516,0.936821,do_min,val,10,0,100,0_baseline_LSTM
01480870,0.488603,0.89577,0.407057,0.611394,0.057468,0.009392,-0.215063,0.548212,0.302193,-10.36563,0.882296,0.926189,do_min,val,10,0,100,0_baseline_LSTM
01481000,0.564424,0.895366,0.693783,0.672484,0.064832,-0.116465,-0.453341,0.592067,-0.309515,-5.377957,0.880444,0.916092,do_min,val,10,0,100,0_baseline_LSTM
01481500,0.584595,0.925884,0.983285,0.570668,0.059203,-0.219264,-0.873493,0.461569,-1.674,-2.469106,0.919041,0.942089,do_min,val,10,0,100,0_baseline_LSTM
01466500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,val,10,0,100,0_baseline_LSTM
01472104,0.894811,0.704465,1.895869,1.140169,0.091862,0.064152,-1.507431,1.089774,-1.346696,-10.696545,0.702058,0.706502,do_mean,val,10,0,100,0_baseline_LSTM
01472119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,val,10,0,100,0_baseline_LSTM
014721254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,val,10,0,100,0_baseline_LSTM
014721259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,val,10,0,100,0_baseline_LSTM
01473499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,val,10,0,100,0_baseline_LSTM
01473500,1.20271,0.702941,1.460169,1.585369,0.127963,0.68729,-0.295107,1.523816,-1.403932,-19.460557,0.680302,0.867842,do_mean,val,10,0,100,0_baseline_LSTM
01473675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,val,10,0,100,0_baseline_LSTM
01473780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,val,10,0,100,0_baseline_LSTM
01474500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,val,10,0,100,0_baseline_LSTM
01475530,8.940315,-44.494044,11.625706,7.302916,3.127865,-8.837665,-11.615231,-7.300465,-1194.746192,-2943.983162,-550.68669,-0.674507,do_mean,val,10,0,100,0_baseline_LSTM
01475548,8.195755,-13.855497,11.688672,4.750131,2.246611,-7.925153,-11.677047,-4.718377,-530.629773,-78.03203,-84.29729,-0.40079,do_mean,val,10,0,100,0_baseline_LSTM
