rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,nstates,rep_id,nepochs,model_id
3.085096,-1.16753,4.437185,2.991739,0.772232,-0.574717,-2.563806,0.738406,-22.388968,-30.829052,-15.98389,0.203173,do_max,val_times,10,6,100,0_baseline_LSTM
0.693952,0.883587,0.763891,1.120578,0.084033,0.076567,-0.43816,0.937566,0.161178,-3.38437,0.849143,0.903407,do_min,train,10,7,100,0_baseline_LSTM
0.648168,0.885494,0.878634,0.767582,0.064981,0.052989,-0.429489,0.573233,-0.291713,-2.205292,0.875428,0.93358,do_mean,train,10,7,100,0_baseline_LSTM
1.139658,0.678871,2.282331,1.103593,0.098196,0.045551,-1.630308,0.98346,-4.340884,-5.469516,0.685764,0.754582,do_max,train,10,7,100,0_baseline_LSTM
2.186902,-0.116484,1.419918,2.303274,0.740842,-0.234915,-0.254194,0.215826,-2.136484,-10.689749,-9.18509,0.457247,do_min,val,10,7,100,0_baseline_LSTM
2.420693,-0.470889,1.818394,2.309414,0.723693,-0.344226,-0.430338,-0.159885,-4.489159,-18.911594,-12.133106,0.336423,do_mean,val,10,7,100,0_baseline_LSTM
2.886962,-0.782256,4.220982,2.330405,0.685257,-0.403067,-2.362488,0.362703,-15.771252,-23.08787,-11.47632,0.299722,do_max,val,10,7,100,0_baseline_LSTM
2.274821,-0.269129,1.484948,2.525698,0.791805,-0.391698,-0.312473,-0.204686,-2.486876,-11.299828,-11.373893,0.398633,do_min,val_times,10,7,100,0_baseline_LSTM
2.530559,-0.705303,1.839073,2.658279,0.773955,-0.486043,-0.425579,-0.56365,-5.544981,-21.375493,-15.051359,0.257461,do_mean,val_times,10,7,100,0_baseline_LSTM
3.015138,-1.070343,4.371041,2.620346,0.732129,-0.546935,-2.422543,0.125589,-21.69686,-23.417059,-14.265716,0.219235,do_max,val_times,10,7,100,0_baseline_LSTM
0.723099,0.873603,0.787345,1.191184,0.086927,0.137761,-0.436327,1.037746,0.108878,-3.954284,0.838576,0.897171,do_min,train,10,8,100,0_baseline_LSTM
0.677751,0.874804,0.934775,0.881803,0.068031,0.096962,-0.530152,0.773513,-0.462055,-3.230203,0.863462,0.906279,do_mean,train,10,8,100,0_baseline_LSTM
1.148273,0.673998,2.256047,1.259089,0.099411,0.08087,-1.643983,1.169432,-4.218581,-7.42107,0.677937,0.746156,do_max,train,10,8,100,0_baseline_LSTM
2.240586,-0.17197,1.423989,2.489643,0.869354,-0.139042,-0.275967,0.409643,-2.154494,-12.658038,-13.016552,0.441138,do_min,val,10,8,100,0_baseline_LSTM
2.417268,-0.46673,1.810378,2.444421,0.663386,-0.213025,-0.516003,0.260863,-4.440864,-21.30767,-10.035478,0.352569,do_mean,val,10,8,100,0_baseline_LSTM
2.885407,-0.780337,4.203745,2.468347,0.6728,-0.344638,-2.403124,0.688715,-15.634563,-26.023908,-11.026835,0.300704,do_max,val,10,8,100,0_baseline_LSTM
2.322298,-0.322657,1.489801,2.68476,0.929571,-0.30893,-0.308146,-0.061486,-2.509708,-12.897839,-16.046637,0.379216,do_min,val_times,10,8,100,0_baseline_LSTM
2.515023,-0.684429,1.835071,2.733661,0.708457,-0.379074,-0.498108,-0.208868,-5.516534,-22.662511,-12.449565,0.275187,do_mean,val_times,10,8,100,0_baseline_LSTM
3.008616,-1.061395,4.347008,2.718895,0.718413,-0.50088,-2.442094,0.399932,-21.447964,-25.28821,-13.699079,0.222068,do_max,val_times,10,8,100,0_baseline_LSTM
0.676795,0.889272,0.710456,1.09631,0.082768,0.02223,-0.397873,0.906932,0.274428,-3.196526,0.85365,0.912985,do_min,train,10,9,100,0_baseline_LSTM
0.599159,0.902156,0.737391,0.850495,0.062067,0.012562,-0.392133,0.746025,0.090202,-2.93515,0.886349,0.927322,do_mean,train,10,9,100,0_baseline_LSTM
1.030174,0.737607,1.957843,1.171247,0.090318,-0.003767,-1.281949,1.057102,-2.930172,-6.287039,0.734158,0.793201,do_max,train,10,9,100,0_baseline_LSTM
2.220207,-0.150749,1.488337,2.448401,0.649093,-0.235946,-0.282602,0.555159,-2.446029,-12.209274,-6.776663,0.459218,do_min,val,10,9,100,0_baseline_LSTM
2.454434,-0.51218,1.849806,2.510234,0.855847,-0.304758,-0.417864,0.370937,-4.680441,-22.525054,-17.364166,0.338034,do_mean,val,10,9,100,0_baseline_LSTM
2.8683,-0.759289,4.156138,2.539804,0.692619,-0.376658,-2.101547,0.878907,-15.25992,-27.611193,-11.74583,0.306148,do_max,val,10,9,100,0_baseline_LSTM
2.316876,-0.316489,1.568675,2.600073,0.693604,-0.415667,-0.325817,0.04339,-2.891172,-12.034888,-8.433628,0.394272,do_min,val_times,10,9,100,0_baseline_LSTM
2.571403,-0.760796,1.904416,2.780996,0.916375,-0.487461,-0.453792,-0.150749,-6.018339,-23.489072,-21.497412,0.25603,do_mean,val_times,10,9,100,0_baseline_LSTM
3.001149,-1.051176,4.334729,2.741244,0.740275,-0.560953,-2.201286,0.523144,-21.321326,-25.722157,-14.607284,0.22609,do_max,val_times,10,9,100,0_baseline_LSTM
0.930444,0.790722,1.599051,1.191875,0.102708,-0.026168,-1.389611,1.013425,-2.675624,-3.960038,0.774642,0.81875,do_min,train,10,0,100,1_metab_multitask
