site_id,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,nstates,rep_id,nepochs
01481000,0.599193,0.883966,0.850642,0.831091,0.069181,-0.15235,-0.669666,0.733043,-1.022757,-5.890993,0.871765,0.858938,do_min,val,10,3,100
01481500,0.569944,0.92775,0.938175,0.574758,0.056772,-0.236315,-0.819403,0.471584,-1.776565,-2.968842,0.924178,0.925677,do_min,val,10,3,100
01466500,,,,,,,,,,,,,do_mean,val,10,3,100
01472104,1.035945,0.603886,2.720271,0.829263,0.100792,-0.380417,-2.4417,0.731373,-3.831307,-5.18733,0.641322,0.572232,do_mean,val,10,3,100
01472119,,,,,,,,,,,,,do_mean,val,10,3,100
014721254,,,,,,,,,,,,,do_mean,val,10,3,100
014721259,,,,,,,,,,,,,do_mean,val,10,3,100
01473499,,,,,,,,,,,,,do_mean,val,10,3,100
01473500,0.775749,0.856252,1.085361,1.268831,0.088507,0.124461,-0.537146,1.1692,-0.934626,-12.100512,0.832135,0.867191,do_mean,val,10,3,100
01473675,,,,,,,,,,,,,do_mean,val,10,3,100
01473780,,,,,,,,,,,,,do_mean,val,10,3,100
01474500,,,,,,,,,,,,,do_mean,val,10,3,100
01475530,1.605864,0.069409,0.63218,1.623852,0.222033,-0.929464,0.168106,-1.599542,-0.18507,-65.224705,-0.699839,0.339674,do_mean,val,10,3,100
01475548,3.810408,-1.499508,5.753698,0.871684,0.650817,-2.776699,-5.579211,0.188091,-70.144506,-1.053777,-4.625761,0.282156,do_mean,val,10,3,100
01480617,0.503317,0.897162,0.671888,0.660853,0.05123,-0.16023,-0.538548,0.589647,-1.22794,-7.945473,0.889195,0.849753,do_mean,val,10,3,100
01480870,0.525797,0.897567,0.72344,0.783622,0.054857,-0.147083,-0.605247,0.659524,-1.360291,-4.922981,0.89113,0.850057,do_mean,val,10,3,100
01481000,0.584962,0.879699,0.854672,0.663209,0.059396,-0.15413,-0.68433,0.591044,-1.253643,-4.749025,0.87479,0.868364,do_mean,val,10,3,100
01481500,0.474005,0.946421,0.804402,0.442713,0.043086,-0.108082,-0.673283,0.375232,-1.490029,-4.408457,0.947922,0.945425,do_mean,val,10,3,100
01466500,,,,,,,,,,,,,do_max,val,10,3,100
01472104,1.882475,0.331399,5.007512,1.486401,0.152774,-0.681381,-4.714816,1.42807,-5.690386,-8.674399,0.37673,0.343536,do_max,val,10,3,100
01472119,,,,,,,,,,,,,do_max,val,10,3,100
014721254,,,,,,,,,,,,,do_max,val,10,3,100
014721259,,,,,,,,,,,,,do_max,val,10,3,100
01473499,,,,,,,,,,,,,do_max,val,10,3,100
01473500,1.073983,0.752096,1.761315,1.478286,0.106431,0.177711,-1.286614,1.357271,-2.422496,-19.063909,0.735093,0.771121,do_max,val,10,3,100
01473675,,,,,,,,,,,,,do_max,val,10,3,100
01473780,,,,,,,,,,,,,do_max,val,10,3,100
01474500,,,,,,,,,,,,,do_max,val,10,3,100
01475530,2.901671,-1.374071,1.933942,2.607788,0.361977,-2.390855,-1.80144,-2.574211,-6.12868,-55.062186,-3.727782,0.381121,do_max,val,10,3,100
01475548,5.470477,-2.834668,10.147547,1.335884,0.733188,-4.514121,-9.907722,-1.071229,-196.722471,-3.590567,-7.081723,0.021225,do_max,val,10,3,100
01480617,0.854276,0.764532,1.162861,1.382201,0.078791,0.249571,-0.954454,1.287248,-3.88032,-43.984167,0.738741,0.702427,do_max,val,10,3,100
01480870,1.167918,0.659579,2.515675,1.298204,0.098688,-0.162275,-2.231554,1.219367,-7.33396,-13.720285,0.676688,0.635278,do_max,val,10,3,100
01481000,0.90089,0.736451,1.612673,0.967137,0.081078,-0.181999,-1.311289,0.852876,-3.66166,-6.663925,0.737394,0.765937,do_max,val,10,3,100
01481500,0.549097,0.919843,0.735849,0.492474,0.047903,-0.02817,-0.582538,0.358282,-1.104953,-7.12319,0.919749,0.949979,do_max,val,10,3,100
01466500,,,,,,,,,,,,,do_min,val_times,10,3,100
01472104,0.744512,0.742956,0.93834,1.207914,0.10651,-0.063037,-0.601813,1.15476,-1.191038,-13.074461,0.700145,0.696955,do_min,val_times,10,3,100
01472119,,,,,,,,,,,,,do_min,val_times,10,3,100
014721254,,,,,,,,,,,,,do_min,val_times,10,3,100
014721259,,,,,,,,,,,,,do_min,val_times,10,3,100
01473499,,,,,,,,,,,,,do_min,val_times,10,3,100
01473500,0.811246,0.856782,0.697298,1.573929,0.113194,0.109901,-0.339,1.477323,-0.089296,-10.269235,0.800694,0.854522,do_min,val_times,10,3,100
01473675,,,,,,,,,,,,,do_min,val_times,10,3,100
01473780,,,,,,,,,,,,,do_min,val_times,10,3,100
01474500,,,,,,,,,,,,,do_min,val_times,10,3,100
01475530,1.355051,0.345812,0.937933,0.947138,0.185318,-0.197023,0.784129,-0.806707,-3.280518,-3.031685,0.112159,0.372901,do_min,val_times,10,3,100
01475548,2.878551,-0.37237,3.925518,1.534673,0.596657,-1.710582,-3.814383,1.276929,-57.442538,-4.057284,-1.971906,0.473732,do_min,val_times,10,3,100
01480617,0.770109,0.747304,0.933489,0.422159,0.087039,-0.551509,-0.802708,0.263524,-2.379101,-0.701363,0.72019,0.87482,do_min,val_times,10,3,100
